iter	Passed	Remaining
0	171	171747
1	173	86745
2	175	58376
3	177	44203
4	179	35704
5	181	30021
6	183	25971
7	184	22924
8	186	20555
9	188	18651
10	190	17093
11	191	15794
12	193	14698
13	195	13759
14	197	12947
15	198	12232
16	200	11601
17	202	11040
18	204	10542
19	205	10091
20	207	9681
21	209	9312
22	211	8977
23	213	8664
24	214	8378
25	216	8112
26	218	7866
27	220	7638
28	221	7425
29	223	7226
30	225	7040
31	226	6866
32	228	6703
33	230	6552
34	232	6407
35	234	6270
36	235	6140
37	237	6015
38	239	5898
39	241	5788
40	242	5683
41	244	5582
42	246	5487
43	248	5395
44	250	5307
45	251	5224
46	253	5145
47	255	5068
48	257	4993
49	259	4921
50	260	4852
51	262	4785
52	264	4721
53	266	4661
54	267	4601
55	269	4543
56	271	4487
57	273	4435
58	274	4382
59	276	4332
60	278	4283
61	280	4236
62	281	4190
63	283	4146
64	285	4103
65	287	4062
66	289	4024
67	290	3986
68	292	3947
69	294	3910
70	296	3873
71	297	3838
72	299	3804
73	301	3770
74	303	3738
75	304	3707
76	306	3677
77	308	3649
78	310	3619
79	312	3593
80	314	3567
81	316	3539
82	317	3512
83	319	3486
84	321	3460
85	323	3435
86	324	3410
87	326	3386
88	328	3362
89	330	3339
90	332	3316
91	334	3296
92	335	3274
93	337	3253
94	339	3233
95	341	3212
96	343	3193
97	345	3177
98	348	3174
99	352	3168
100	357	3179
101	360	3173
102	364	3176
103	370	3192
104	376	3212
105	380	3207
106	384	3204
107	386	3195
108	389	3187
109	390	3162
110	392	3146
111	397	3149
112	399	3138
113	406	3156
114	411	3169
115	417	3179
116	422	3189
117	446	3335
118	452	3349
119	458	3365
120	463	3369
121	468	3374
122	473	3373
123	479	3385
124	483	3387
125	489	3392
126	492	3386
127	498	3397
128	501	3385
129	508	3402
130	511	3392
131	516	3399
132	522	3405
133	527	3409
134	534	3422
135	540	3433
136	546	3444
137	552	3452
138	559	3466
139	566	3481
140	574	3500
141	578	3492
142	583	3497
143	589	3505
144	591	3490
145	595	3483
146	597	3467
147	599	3452
148	601	3436
149	603	3420
150	605	3404
151	608	3393
152	610	3377
153	612	3365
154	614	3349
155	616	3334
156	618	3319
157	620	3304
158	621	3288
159	624	3277
160	626	3262
161	627	3247
162	629	3234
163	631	3219
164	633	3205
165	635	3191
166	636	3177
167	638	3163
168	640	3150
169	642	3136
170	644	3123
171	646	3110
172	647	3097
173	649	3084
174	651	3071
175	653	3058
176	654	3045
177	656	3033
178	658	3020
179	660	3007
180	662	2995
181	663	2983
182	665	2971
183	667	2959
184	669	2947
185	670	2935
186	672	2924
187	674	2912
188	676	2901
189	677	2889
190	679	2878
191	681	2867
192	683	2856
193	684	2845
194	686	2834
195	688	2823
196	690	2812
197	691	2801
198	693	2791
199	695	2780
200	696	2770
201	698	2760
202	700	2750
203	702	2740
204	704	2730
205	705	2720
206	707	2710
207	709	2700
208	710	2690
209	712	2681
210	714	2672
211	716	2663
212	718	2655
213	720	2646
214	722	2637
215	724	2628
216	725	2619
217	728	2612
218	730	2603
219	731	2594
220	733	2585
221	735	2576
222	737	2568
223	738	2559
224	740	2550
225	742	2541
226	743	2533
227	745	2524
228	747	2516
229	749	2508
230	751	2501
231	753	2494
232	755	2486
233	757	2478
234	758	2469
235	760	2461
236	762	2453
237	763	2445
238	765	2438
239	767	2430
240	769	2422
241	770	2414
242	772	2407
243	774	2399
244	776	2392
245	778	2384
246	779	2377
247	781	2369
248	783	2362
249	785	2355
250	786	2348
251	788	2341
252	790	2334
253	792	2328
254	794	2322
255	796	2315
256	798	2308
257	800	2302
258	802	2295
259	804	2288
260	805	2281
261	807	2275
262	809	2268
263	811	2261
264	812	2254
265	814	2247
266	816	2241
267	818	2234
268	819	2227
269	821	2221
270	823	2215
271	825	2208
